iter	Passed	Remaining
0	111	110928
1	112	56196
2	113	37801
3	114	28578
4	115	23054
5	116	19347
6	119	16901
7	121	15011
8	123	13593
9	125	12451
10	128	11559
11	131	10848
12	134	10191
13	136	9598
14	138	9089
15	140	8650
16	142	8246
17	144	7883
18	145	7537
19	147	7229
20	149	6962
21	151	6719
22	152	6485
23	154	6274
24	155	6080
25	157	5901
26	158	5727
27	160	5561
28	161	5401
29	162	5257
30	163	5120
31	165	4998
32	167	4895
33	168	4783
34	169	4676
35	170	4577
36	172	4479
37	173	4386
38	174	4296
39	175	4210
40	176	4126
41	177	4053
42	178	3979
43	179	3910
44	180	3839
45	181	3772
46	182	3708
47	183	3648
48	185	3600
49	186	3546
50	187	3493
51	188	3442
52	189	3389
53	190	3337
54	191	3287
55	192	3238
56	192	3191
57	193	3147
58	194	3104
59	195	3065
60	196	3025
61	197	2985
62	198	2946
63	198	2909
64	199	2875
65	200	2840
66	201	2806
67	201	2768
68	202	2734
69	203	2703
70	204	2671
71	205	2642
72	205	2613
73	206	2585
74	207	2559
75	208	2532
76	209	2507
77	210	2482
78	210	2457
79	211	2433
80	212	2410
81	213	2387
82	214	2367
83	215	2347
84	215	2325
85	216	2304
86	217	2280
87	218	2260
88	219	2242
89	219	2223
90	220	2204
91	221	2186
92	222	2168
93	223	2151
94	224	2134
95	224	2118
96	225	2101
97	226	2084
98	227	2068
99	228	2053
100	229	2040
101	229	2023
102	230	2010
103	231	1996
104	232	1981
105	233	1966
106	233	1952
107	234	1938
108	235	1924
109	236	1910
110	236	1896
111	237	1883
112	238	1870
113	238	1857
114	239	1844
115	240	1830
116	240	1818
117	241	1806
118	242	1793
119	243	1783
120	244	1773
121	245	1763
122	245	1751
123	246	1741
124	247	1730
125	247	1719
126	248	1709
127	249	1698
128	250	1688
129	250	1678
130	251	1669
131	252	1661
132	253	1651
133	254	1643
134	255	1635
135	256	1626
136	257	1619
137	257	1610
138	259	1605
139	260	1598
140	261	1593
141	262	1585
142	263	1577
143	264	1569
144	264	1561
145	265	1553
146	266	1545
147	267	1537
148	267	1530
149	268	1522
150	269	1515
151	270	1507
152	270	1499
153	271	1492
154	272	1485
155	273	1480
156	274	1475
157	275	1470
158	276	1464
159	277	1458
160	278	1452
161	279	1446
162	280	1441
163	281	1435
164	282	1430
165	283	1424
166	284	1418
167	285	1412
168	286	1407
169	287	1403
170	288	1398
171	289	1393
172	290	1389
173	291	1384
174	292	1379
175	293	1374
176	294	1369
177	295	1365
178	296	1360
179	297	1355
180	297	1348
181	298	1343
182	299	1337
183	300	1332
184	301	1327
185	302	1322
186	303	1318
187	304	1315
188	305	1310
189	306	1306
190	307	1302
191	308	1298
192	309	1294
193	310	1290
194	311	1286
195	312	1282
196	313	1278
197	314	1274
198	315	1270
199	316	1267
200	317	1263
201	318	1259
202	319	1256
203	320	1252
204	321	1248
205	322	1244
206	323	1240
207	324	1237
208	325	1233
209	326	1229
210	327	1225
211	328	1221
212	329	1217
213	330	1213
214	331	1210
215	332	1208
216	333	1205
217	335	1201
218	336	1199
219	337	1195
220	338	1191
221	339	1188
222	340	1185
223	341	1181
224	342	1178
225	343	1175
226	344	1171
227	345	1168
228	346	1165
229	347	1162
230	348	1160
231	349	1157
232	350	1154
233	351	1151
234	352	1148
235	353	1145
236	354	1141
237	355	1138
238	356	1135
239	357	1132
240	358	1129
241	359	1125
242	360	1122
243	361	1119
244	362	1117
245	363	1114
246	364	1111
247	365	1109
248	366	1105
249	367	1102
250	368	1099
251	369	1096
252	370	1093
253	371	1090
254	372	1087
255	373	1084
256	374	1081
257	375	1078
258	376	1076
259	377	1073
260	378	1071
261	379	1068
262	380	1065
263	381	1062
264	382	1059
265	383	1056
266	383	1054
267	384	1051
268	385	1048
269	386	1045
270	387	1042
271	388	1038
272	388	1035
273	389	1032
274	390	1030
275	391	1027
276	392	1024
277	393	1021
278	394	1018
279	395	1015
280	395	1012
281	396	1009
282	397	1006
283	398	1004
284	399	1001
285	399	998
286	400	995
287	401	992
288	402	989
289	403	986
290	403	984
291	404	981
292	405	979
293	406	976
294	407	974
295	408	971
296	409	968
297	410	966
298	410	963
299	411	960
300	412	957
301	413	955
302	414	952
303	414	950
304	415	947
305	416	944
306	417	942
307	418	939
308	419	937
309	420	935
310	421	932
311	422	930
312	422	928
313	423	925
314	424	923
315	425	920
316	426	918
317	427	915
318	427	913
319	428	911
320	429	908
321	430	906
322	431	903
323	432	901
324	432	899
325	433	896
326	434	894
327	435	892
328	436	890
329	437	888
330	438	885
331	439	883
332	439	880
333	440	878
334	441	876
335	442	874
336	443	871
337	443	869
338	444	867
339	445	865
340	446	863
341	447	860
342	448	858
343	448	856
344	449	854
345	450	852
346	451	849
