iter	Passed	Remaining
0	100	100687
1	102	51024
2	104	34611
3	105	26265
4	106	21281
5	108	17942
6	110	15668
7	112	13970
8	114	12606
9	115	11468
10	117	10533
11	118	9738
12	119	9083
13	120	8513
14	121	8009
15	123	7617
16	125	7270
17	126	6917
18	127	6602
19	128	6317
20	129	6052
21	131	5830
22	132	5620
23	133	5440
24	134	5260
25	135	5091
26	137	4940
27	138	4810
28	139	4686
29	141	4569
30	142	4450
31	143	4343
32	144	4237
33	145	4137
34	146	4044
35	147	3960
36	148	3876
37	149	3793
38	150	3716
39	151	3643
40	153	3600
41	155	3537
42	156	3481
43	157	3420
44	158	3360
45	159	3308
46	160	3253
47	161	3199
48	162	3147
49	163	3098
50	164	3052
51	164	3007
52	166	2967
53	167	2929
54	168	2897
55	169	2864
56	171	2829
57	172	2793
58	173	2759
59	173	2724
60	174	2691
61	175	2659
62	176	2628
63	177	2597
64	178	2566
65	179	2538
66	180	2512
67	181	2485
68	183	2470
69	184	2447
70	185	2424
71	186	2403
72	187	2380
73	189	2367
74	190	2345
75	191	2322
76	191	2299
77	193	2286
78	194	2265
79	195	2246
80	196	2228
81	197	2214
82	198	2192
83	199	2176
84	200	2159
85	201	2143
86	202	2126
87	203	2109
88	205	2099
89	206	2082
90	206	2066
91	207	2048
92	208	2033
93	209	2018
94	210	2003
95	211	1988
96	212	1978
97	213	1966
98	214	1955
99	215	1942
100	216	1929
101	217	1916
102	218	1902
103	219	1895
104	220	1882
105	221	1868
106	222	1857
107	223	1846
108	224	1837
109	225	1827
110	227	1818
111	228	1810
112	229	1800
113	230	1790
114	231	1779
115	232	1774
116	233	1762
117	234	1752
118	235	1742
119	236	1732
120	237	1722
121	237	1711
122	238	1702
123	239	1692
124	240	1683
125	241	1676
126	242	1669
127	244	1663
128	245	1657
129	246	1648
130	247	1639
131	248	1631
132	248	1622
133	249	1613
134	250	1605
135	251	1596
136	252	1589
137	253	1582
138	254	1574
139	255	1566
140	255	1558
141	256	1550
142	257	1545
143	259	1540
144	260	1533
145	261	1526
146	261	1519
147	262	1512
148	263	1507
149	264	1500
150	265	1494
151	266	1488
152	267	1483
153	269	1479
154	270	1473
155	271	1467
156	272	1464
157	273	1459
158	274	1453
159	275	1447
160	276	1440
161	277	1436
162	278	1430
163	279	1423
164	280	1419
165	281	1414
166	282	1409
167	283	1403
168	284	1398
169	285	1393
170	286	1389
171	287	1386
172	289	1382
173	290	1377
174	291	1373
175	292	1368
176	293	1363
177	294	1359
178	295	1355
179	296	1350
180	297	1345
181	298	1341
182	299	1336
183	300	1332
184	301	1330
185	303	1326
186	304	1322
187	305	1318
188	306	1314
189	307	1310
190	308	1305
191	309	1301
192	310	1297
193	311	1294
194	312	1289
195	313	1285
196	314	1281
197	315	1278
198	317	1276
199	318	1272
200	319	1269
201	320	1265
